"speaker","congress","first.name","last.name","state","party","speaker.name","speakerID","stateName","retiring","running","appointeeRunning","specialElection","female","vote.score","speech.score","speech.score.lower","speech.score.upper","vote.score.normalized","speech.score.normalized"
"mrs frahm",104,"Sheila","Frahm","KS","R","Frahm (KS)",88,"Kansas",0,0,1,1,1,1.32980751178735,-0.00857990347227948,-1.56533436924995,1.60777047646697,1.1447260522064,-0.000219737278480377
"mr franken",111,"Al","Franken","MN","D","Franken (MN)",89,"Minnesota",0,0,0,0,0,-1.570318241624,-0.924352609890981,-1.36614079315473,-0.483583020287085,-1.2244123108364,-1.62791983745521
"mr frist",104,"Bill","Frist","TN","R","Frist (TN)",90,"Tennessee",0,0,0,0,0,0.906905571767344,0.236125388774412,-0.00355538071023768,0.45186164184439,0.799253719247012,0.434720970073858
"mrs gillibrand",111,"Kirsten","Gillibrand","NY","D","Gillibrand (NY)",91,"New York",0,0,1,1,1,-1.59582378554351,-1.0937825073347,-1.5107566673265,-0.644887973645491,-1.24524801511539,-1.92906559022673
"mr glenn",104,"John H., Jr.","Glenn","OH","D","Glenn (OH)",92,"Ohio",0,0,0,0,0,-1.30808193430864,-0.868257519648964,-1.27080506216156,-0.461750136719034,-1.01018915340513,-1.52821607541209
"mr goodwin",111,"Carte P.","Goodwin","WV","D","Goodwin (WV)",93,"West Virginia",1,0,0,0,0,-1.70098746053818,-0.0271343757979412,-1.99133196122276,1.90842949964854,-1.33115715079179,-0.0331985717114404
"mr gorton",104,"Slade","Gorton","WA","R","Gorton (WA)",94,"Washington",0,0,0,0,0,0.731087252959898,0.255906754462774,-0.0287922856940311,0.54068400578387,0.655626180502375,0.469880492395175
"mr graham",104,"Bob","Graham","FL","D","Graham (FL)",95,"Florida",0,0,0,0,0,-1.04242328724414,-0.461878833094262,-0.777206887992563,-0.155965726282365,-0.793170256381708,-0.805916072170514
"mr graham of south carolina",108,"Lindsey","Graham","SC","R","Graham (SC)",96,"South Carolina",0,0,0,0,0,1.02418833175906,0.715060332087241,0.399749585668649,0.99607799580303,0.895063042581723,1.28598291503513
"mr gramm",104,"Phil","Gramm","TX","R","Gramm (TX)",97,"Texas",0,1,0,0,0,1.81632773712652,0.826315593094771,0.526946611127967,1.13187600837972,1.54216872478411,1.48372870743304
"mr grams",104,"Rod","Grams","MN","R","Grams (MN)",98,"Minnesota",0,0,0,0,0,1.39850003063263,0.308804885375133,-0.0688367404671656,0.686785094619162,1.20084157804488,0.563901959055747
"mr grassley",104,"Charles E.","Grassley","IA","R","Grassley (IA)",99,"Iowa",0,0,0,0,0,1.00360030446783,0.555692425344683,0.379230380997863,0.727755623180978,0.87824450110377,1.00272140707399
"mr gregg",104,"Judd","Gregg","NH","R","Gregg (NH)",100,"New Hampshire",0,0,0,0,0,1.12794258223238,0.779176266798435,0.530863975615343,1.03862930110098,0.979820806908305,1.3999429758896
"mrs hagan",111,"Kay","Hagan","NC","D","Hagan (NC)",101,"North Carolina",0,0,0,0,1,-0.709111579089688,-1.22861612801219,-1.63089168801924,-0.775774244922033,-0.520884975748214,-2.16871970564825
"mr hagel",105,"Chuck","Hagel","NE","R","Hagel (NE)",102,"Nebraska",0,0,0,0,0,0.907025819418768,0.281661262316175,-0.0933139555565693,0.644440075145535,0.799351950616365,0.515656714725408
"mr harkin",104,"Tom","Harkin","IA","D","Harkin (IA)",103,"Iowa",0,1,0,0,0,-1.71067769182387,-0.490215097625837,-0.687281760482994,-0.294249145825504,-1.33907318638393,-0.856281124866887
"mr hatch",104,"Orrin G.","Hatch","UT","R","Hatch (UT)",104,"Utah",0,0,0,0,0,0.882565976531084,0.628999563217338,0.476946391703504,0.78579811084667,0.779370488753531,1.13301796955358
"mr hatfield",104,"Mark O.","Hatfield","OR","R","Hatfield (OR)",105,"Oregon",1,0,0,0,0,0.37515198756835,0.133173827897805,-0.295846085634835,0.535312358427613,0.364859515985491,0.251734225898512
"mr heflin",104,"Howell T.","Heflin","AL","D","Heflin (AL)",106,"Alabama",1,0,0,0,0,-0.550903803328615,-0.266795402208125,-0.975553318423536,0.416497120654334,-0.39164364528303,-0.459173569614423
"mr heinrich",113,"Martin","Heinrich","NM","D","Heinrich (NM)",107,"New Mexico",0,0,0,0,0,-1.04926251735998,-0.764928757397151,-1.94155527873158,0.474821145197824,-0.798757283917342,-1.34455889116804
