"speaker","congress","first.name","last.name","state","party","speaker.name","speakerID","stateName","retiring","running","appointeeRunning","specialElection","female"
"mr burr",109,"Richard","Burr","NC","R","Burr (NC)",34,"North Carolina",0,0,0,0,0
"mr burr",110,"Richard","Burr","NC","R","Burr (NC)",34,"North Carolina",0,0,0,0,0
"mr burr",111,"Richard","Burr","NC","R","Burr (NC)",34,"North Carolina",0,1,0,0,0
"mr burr",112,"Richard","Burr","NC","R","Burr (NC)",34,"North Carolina",0,0,0,0,0
"mr burr",113,"Richard","Burr","NC","R","Burr (NC)",34,"North Carolina",0,0,0,0,0
"mr burris",111,"Roland","Burris","IL","D","Burris (IL)",35,"Illinois",0,0,0,0,0
"mr byrd",104,"Robert C.","Byrd","WV","D","Byrd (WV)",36,"West Virginia",0,0,0,0,0
"mr byrd",105,"Robert C.","Byrd","WV","D","Byrd (WV)",36,"West Virginia",0,0,0,0,0
"mr byrd",106,"Robert C.","Byrd","WV","D","Byrd (WV)",36,"West Virginia",0,1,0,0,0
"mr byrd",107,"Robert C.","Byrd","WV","D","Byrd (WV)",36,"West Virginia",0,0,0,0,0
"mr byrd",108,"Robert C.","Byrd","WV","D","Byrd (WV)",36,"West Virginia",0,0,0,0,0
"mr byrd",109,"Robert C.","Byrd","WV","D","Byrd (WV)",36,"West Virginia",0,1,0,0,0
"mr byrd",110,"Robert C.","Byrd","WV","D","Byrd (WV)",36,"West Virginia",0,0,0,0,0
"mr byrd",111,"Robert C.","Byrd","WV","D","Byrd (WV)",36,"West Virginia",0,0,0,0,0
"mr campbell",104,"Ben Nighthorse","Campbell","CO","R","Campbell (CO)",37,"Colorado",0,0,0,0,0
"mr campbell",105,"Ben Nighthorse","Campbell","CO","R","Campbell (CO)",37,"Colorado",0,1,0,0,0
"mr campbell",106,"Ben Nighthorse","Campbell","CO","R","Campbell (CO)",37,"Colorado",0,0,0,0,0
"mr campbell",107,"Ben Nighthorse","Campbell","CO","R","Campbell (CO)",37,"Colorado",0,0,0,0,0
"mr campbell",108,"Ben Nighthorse","Campbell","CO","R","Campbell (CO)",37,"Colorado",1,0,0,0,0
"ms cantwell",107,"Maria","Cantwell","WA","D","Cantwell (WA)",38,"Washington",0,0,0,0,1
"ms cantwell",108,"Maria","Cantwell","WA","D","Cantwell (WA)",38,"Washington",0,0,0,0,1
"ms cantwell",109,"Maria","Cantwell","WA","D","Cantwell (WA)",38,"Washington",0,1,0,0,1
"ms cantwell",110,"Maria","Cantwell","WA","D","Cantwell (WA)",38,"Washington",0,0,0,0,1
"ms cantwell",111,"Maria","Cantwell","WA","D","Cantwell (WA)",38,"Washington",0,0,0,0,1
"ms cantwell",112,"Maria","Cantwell","WA","D","Cantwell (WA)",38,"Washington",0,1,0,0,1
"ms cantwell",113,"Maria","Cantwell","WA","D","Cantwell (WA)",38,"Washington",0,0,0,0,1
"mr cardin",110,"Ben","Cardin","MD","D","Cardin (MD)",39,"Maryland",0,0,0,0,0
"mr cardin",111,"Ben","Cardin","MD","D","Cardin (MD)",39,"Maryland",0,0,0,0,0
"mr cardin",112,"Ben","Cardin","MD","D","Cardin (MD)",39,"Maryland",0,1,0,0,0
"mr cardin",113,"Ben","Cardin","MD","D","Cardin (MD)",39,"Maryland",0,0,0,0,0
"mrs carnahan",107,"Jean","Carnahan","MO","D","Carnahan (MO)",40,"Missouri",0,0,1,1,1
